,optimalImageSize,optimalDistanceBetweenEyes,optimalConfidence
00000,23.0,6.0,0.9513074159622192
00001,20.0,6.0,0.9966367483139038
00002,20.0,5.0,0.7481407523155212
00003,20.0,5.0990195135927845,0.9657206535339355
00004,20.0,5.0,0.8997365236282349
00005,30.0,7.0,0.736723005771637
00006,20.0,6.0,0.9929290413856506
00007,20.0,5.0,0.9923455119132996
00008,30.0,8.06225774829855,0.9443150162696838
00009,20.0,6.0,0.7498337626457214
00010,20.0,5.0990195135927845,0.9941389560699463
00011,29.0,7.0,0.996735155582428
00012,20.0,6.0,0.9965483546257019
00013,30.0,7.0710678118654755,0.9397949576377869
00014,22.0,6.0,0.9117142558097839
00015,21.0,5.0,0.9935057163238525
00016,20.0,5.0,0.9081103801727295
00017,20.0,6.0,0.9961466789245605
00018,20.0,5.0,0.9617275595664978
00019,22.0,5.0,0.9143553972244263
00020,27.0,7.0,0.9674056172370911
00021,20.0,6.0,0.996369481086731
00022,20.0,5.0,0.7476865649223328
00023,32.0,9.0,0.9987566471099854
00024,28.0,7.0,0.8128319978713989
00025,20.0,6.0,0.7757408022880554
00026,20.0,3.1622776601683795,0.9958775043487549
00027,20.0,5.0990195135927845,0.998344898223877
00028,31.0,7.280109889280518,0.8462947607040405
00029,20.0,4.0,0.9240381717681885
00030,20.0,5.0,0.9800747632980347
00031,20.0,5.0,0.9974331259727478
00032,22.0,5.0,0.9353024363517761
00033,23.0,8.0,0.9076436758041382
00034,20.0,5.0,0.8610457181930542
00035,21.0,6.324555320336759,0.9829539656639099
00036,32.0,8.0,0.9815203547477722
00037,27.0,7.0,0.8694937825202942
00038,20.0,4.123105625617661,0.9254040122032166
00039,22.0,7.0,0.9018059372901917
00040,20.0,5.0,0.774900496006012
00041,22.0,6.0,0.738548755645752
00042,20.0,6.0,0.9951456189155579
00043,23.0,6.0,0.9280295968055725
00044,23.0,6.082762530298219,0.8688071966171265
00045,20.0,6.082762530298219,0.7117685675621033
00046,25.0,8.0,0.9207791090011597
00047,25.0,6.082762530298219,0.9374845623970032
00048,20.0,5.0,0.9983627200126648
00049,20.0,4.0,0.9258570075035095
00050,20.0,6.0,0.9660661220550537
00051,20.0,5.0990195135927845,0.9707805514335632
00052,25.0,6.082762530298219,0.9710091352462769
00053,22.0,5.0990195135927845,0.8542329668998718
00054,20.0,5.0,0.9997459053993225
00055,32.0,8.06225774829855,0.9922702312469482
00056,21.0,6.082762530298219,0.8682458996772766
00057,22.0,6.0,0.7310516834259033
00058,22.0,6.0,0.9273458123207092
00059,20.0,5.0,0.9946513772010803
00060,32.0,4.0,0.9993898868560791
00061,23.0,6.0,0.9534990191459656
00062,20.0,5.0,0.9936383366584778
00063,22.0,3.1622776601683795,0.9603622555732727
00064,20.0,5.0,0.9997867941856384
00065,20.0,6.0,0.9334324598312378
00066,22.0,6.0,0.8687441945075989
00067,20.0,5.0,0.8877085447311401
00068,22.0,5.0,0.966249406337738
00069,20.0,5.0,0.9082857966423035
00070,20.0,6.082762530298219,0.999401330947876
00071,20.0,5.0,0.9825426340103149
00072,20.0,6.0,0.9966222047805786
00073,20.0,5.0,0.9932931661605835
00074,20.0,6.0,0.7744027376174927
00075,22.0,5.0990195135927845,0.8688105940818787
00076,23.0,6.082762530298219,0.9864952564239502
00077,20.0,4.123105625617661,0.9704282879829407
00078,20.0,7.0,0.7305266857147217
00079,20.0,5.0,0.79960697889328
00080,20.0,4.0,0.9899040460586548
00081,20.0,5.0,0.8217283487319946
00082,20.0,6.0,0.9902987480163574
00083,31.0,8.246211251235321,0.8392035365104675
00084,23.0,7.0,0.7973576784133911
00085,25.0,7.0,0.8523476719856262
00086,20.0,5.0990195135927845,0.9990566372871399
00087,20.0,6.082762530298219,0.9968947172164917
00088,22.0,6.082762530298219,0.7349135875701904
00089,20.0,5.0,0.9642499089241028
00090,20.0,6.0,0.7625434398651123
00091,20.0,5.0,0.9425585269927979
00092,21.0,7.0,0.9645001888275146
00093,20.0,5.0,0.9977046847343445
00094,22.0,6.0,0.9261100888252258
00095,20.0,5.0,0.9948458671569824
00096,32.0,8.0,0.9868740439414978
00097,24.0,7.0710678118654755,0.741034984588623
00098,22.0,6.0,0.9954589605331421
00099,25.0,6.0,0.9136037230491638
00100,22.0,7.0,0.8338220119476318
00101,20.0,5.0990195135927845,0.7547471523284912
00102,20.0,5.0,0.9878631830215454
00103,20.0,5.0,0.9916338920593262
00104,20.0,6.0,0.996103048324585
00105,20.0,4.0,0.7194598317146301
00106,29.0,7.0,0.8554142713546753
00107,22.0,7.0,0.7748492360115051
00108,20.0,4.47213595499958,0.7254891991615295
00109,22.0,5.0,0.9794778823852539
00110,20.0,5.0,0.9992334842681885
00111,20.0,5.0990195135927845,0.970304548740387
00112,22.0,6.0,0.9348075985908508
00113,20.0,5.0,0.9933983087539673
00114,20.0,5.0990195135927845,0.7733194231987
